Date,Level,Growth
Jan-48,28.1,
Feb-48,28.3,
Mar-48,29.3,
Apr-48,27.0,
May-48,27.2,
Jun-48,27.8,
Jul-48,28.5,
Aug-48,29.9,
Sep-48,31.1,
Oct-48,30.7,
Nov-48,31.4,
Dec-48,34.1,
Jan-49,34.3,32.7
Feb-49,35.7,38.2
Mar-49,33.9,20.5
Apr-49,33.8,17.3
May-49,33.5,11.7
Jun-49,31.7,-2.3
Jul-49,27.9,-23.9
Aug-49,25.5,-35.4
Sep-49,23.0,-45.8
Oct-49,26.3,-27.3
Nov-49,21.6,-48.3
Dec-49,22.2,-42.8
Jan-50,21.0,-45.4
Feb-50,19.0,-51.1
Mar-50,18.3,-50.1
Apr-50,17.7,-48.1
May-50,16.5,-50.0
Jun-50,16.7,-42.9
Jul-50,14.8,-49.2
Aug-50,17.2,-25.7
Sep-50,19.8,2.8
Oct-50,24.3,53.4
Nov-50,24.3,55.7
Dec-50,20.9,15.9
Jan-51,23.3,43.0
Feb-51,24.1,49.6
Mar-51,26.6,72.7
Apr-51,31.9,126.0
May-51,39.3,199.3
Jun-51,42.9,201.1
Jul-51,45.8,189.3
Aug-51,46.3,146.9
Sep-51,38.8,53.1
Oct-51,38.1,35.3
Nov-51,39.7,36.3
Dec-51,41.6,39.0
Jan-52,40.3,20.1
Feb-52,41.4,17.4
Mar-52,40.9,7.3
Apr-52,42.3,7.8
May-52,43.6,9.7
Jun-52,38.5,-14.0
Jul-52,36.5,-20.9
Aug-52,33.7,-29.2
Sep-52,32.4,-31.1
Oct-52,32.1,-30.5
Nov-52,30.4,-35.8
Dec-52,31.8,-27.3
Jan-53,32.9,-19.3
Feb-53,33.0,-16.4
Mar-53,33.4,-11.5
Apr-53,33.4,-8.4
May-53,33.8,-2.5
Jun-53,34.1,3.6
Jul-53,34.2,5.9
Aug-53,34.1,6.3
Sep-53,34.4,8.3
Oct-53,34.8,9.6
Nov-53,35.1,9.5
Dec-53,35.3,8.8
Jan-54,35.2,6.1
Feb-54,34.6,1.7
Mar-54,33.6,-4.0
Apr-54,33.5,-4.7
May-54,32.4,-10.2
Jun-54,32.0,-11.7
Jul-54,32.1,-10.6
Aug-54,32.2,-9.0
