,Date,3m1s_inversion,3m2s_inversion,2s10s_inversion,2s30s_inversion
0,2019-06-21,True,True,False,False
1,2019-06-20,True,True,False,False
2,2019-06-19,True,True,False,False
3,2019-06-18,True,True,False,False
4,2019-06-17,True,True,False,False
5,2019-06-14,True,True,False,False
6,2019-06-13,True,True,False,False
7,2019-06-12,True,True,False,False
8,2019-06-11,True,True,False,False
9,2019-06-10,True,True,False,False
10,2019-06-07,True,True,False,False
11,2019-06-06,True,True,False,False
12,2019-06-05,True,True,False,False
13,2019-06-04,True,True,False,False
14,2019-06-03,True,True,False,False
15,2019-05-31,True,True,False,False
16,2019-05-30,True,True,False,False
17,2019-05-29,True,True,False,False
18,2019-05-28,True,True,False,False
19,2019-05-24,True,True,False,False
20,2019-05-23,True,True,False,False
21,2019-05-22,True,True,False,False
22,2019-05-21,True,True,False,False
23,2019-05-20,True,True,False,False
24,2019-05-17,True,True,False,False
25,2019-05-16,True,True,False,False
26,2019-05-15,True,True,False,False
27,2019-05-14,True,True,False,False
28,2019-05-13,True,True,False,False
29,2019-05-10,True,True,False,False
30,2019-05-09,True,True,False,False
31,2019-05-08,True,True,False,False
32,2019-05-07,True,True,False,False
33,2019-05-06,True,True,False,False
34,2019-05-03,True,True,False,False
35,2019-05-02,True,True,False,False
36,2019-05-01,True,True,False,False
37,2019-04-30,True,True,False,False
38,2019-04-29,True,True,False,False
39,2019-04-26,True,True,False,False
40,2019-04-25,True,True,False,False
41,2019-04-24,True,True,False,False
42,2019-04-23,True,True,False,False
43,2019-04-22,False,True,False,False
44,2019-04-18,False,True,False,False
45,2019-04-17,False,True,False,False
46,2019-04-16,False,True,False,False
47,2019-04-15,False,True,False,False
48,2019-04-12,False,True,False,False
49,2019-04-11,False,True,False,False
50,2019-04-10,True,True,False,False
51,2019-04-09,False,True,False,False
52,2019-04-08,False,True,False,False
53,2019-04-05,True,True,False,False
54,2019-04-04,True,True,False,False
55,2019-04-03,True,True,False,False
56,2019-04-02,True,True,False,False
57,2019-04-01,True,True,False,False
58,2019-03-29,False,True,False,False
59,2019-03-28,True,True,False,False
60,2019-03-27,True,True,False,False
61,2019-03-26,True,True,False,False
62,2019-03-25,True,True,False,False
63,2019-03-22,True,True,False,False
64,2019-03-21,True,True,False,False
65,2019-03-20,True,True,False,False
66,2019-03-19,False,False,False,False
67,2019-03-18,False,False,False,False
68,2019-03-15,False,True,False,False
69,2019-03-14,False,False,False,False
70,2019-03-13,False,False,False,False
71,2019-03-12,False,True,False,False
72,2019-03-11,False,False,False,False
73,2019-03-08,False,True,False,False
74,2019-03-07,False,False,False,False
75,2019-03-06,False,False,False,False
76,2019-03-05,False,False,False,False
77,2019-03-04,False,False,False,False
78,2019-03-01,False,False,False,False
79,2019-02-28,False,False,False,False
80,2019-02-27,False,False,False,False
81,2019-02-26,False,False,False,False
82,2019-02-25,False,False,False,False
83,2019-02-22,False,False,False,False
84,2019-02-21,False,False,False,False
85,2019-02-20,False,False,False,False
86,2019-02-19,False,False,False,False
87,2019-02-15,False,False,False,False
